Source IDs,Source,Citation key,Year,Title,Authors,Journal/Venue,DOI/stable URL,Cit/yr,Study type,Setting / facility,AV/CAV technology,Primary theme,Theme flags,Relevance tier,Control dimension / method,Metrics / congestion mechanism,Lane-changing modeled?,Routing modeled?,Finding / note from upload,Limitations / caveats from upload,Citation detail flags,Deduplication status,Control dimension (standardized),Control method (standardized),Traffic setting (standardized),AV/CAV technology (standardized),Congestion mechanism (standardized),Evaluation metrics (standardized),DOI status,Row audit notes
Undermind #199,Undermind catalog,R. Scarinci 2014,2014,Control Concepts for Facilitating Motorway On-ramp Merging Using Intelligent Vehicles,R. Scarinci and B. Heydecker,Transport Reviews,https://doi.org/10.1080/01441647.2014.983210,8.0,Review/survey,on-ramp merge; merge/merging area,intelligent vehicles; CACC; automated vehicles; on-board display,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Review/survey,Tier 1,Review of longitudinal and lateral merging control concepts,on-ramp congestion; traffic breakdown; capacity drop; shock waves; throughput; delay; travel time; queue length; congestion duration; shock-wave count,Yes,No/unclear,Scarinci and Heydecker 2014 reviewed intelligent-vehicle control strategies for motorway on-ramp merging. The review found that most strategies use longitudinal speed or gap control to delay breakdown and improve throughput or delay but evaluation is mainly simulation based with limited field validation.,Limited by review scope focused on facilitated on-ramp merging and by evidence base dominated by microscopic simulation rather than field tests,Study details verified,Kept / merged unique record,Lateral/merging; Longitudinal; Cooperative,Review/survey; CACC; automated merging; advisory control,on-ramp merge; merge/merging area,intelligent vehicles; CACC; automated vehicles; on-board display,Bottleneck activation/throughput; Capacity drop; Shock waves; Queueing/delay,throughput/capacity; delay/travel time/queue; speed/stability; shock waves,present,Study details verified and DOI verified from the published study
Undermind #200,Undermind catalog,Jackeline Rios-Torres 2017,2017,A Survey on the Coordination of Connected and Automated Vehicles at Intersections and Merging at Highway On-Ramps,Jackeline Rios-Torres and Andreas A. Malikopoulos,IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2016.2600504,82,Review/survey,on-ramp merge; merge/merging area; highway segment/corridor; intersection,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning; Review/survey,Tier 1,Review of centralized and decentralized CAV coordination,intersection delay; on-ramp merging congestion; traffic flow; fuel consumption; travel time; throughput; safety,Yes,Varies/unclear,Rios-Torres and Malikopoulos 2017 surveyed centralized and decentralized CAV coordination for intersections and highway on-ramp merging. The review reported that CAV coordination can improve traffic flow and reduce fuel use or travel time in many studies but many optimization approaches remain computationally demanding and field evidence is limited.,Limited by survey nature and by reviewed literature that is largely simulation or theoretical with limited field testing for many control classes,Study details verified,Kept / merged unique record,Lateral/merging; Longitudinal; Cooperative,Review/survey; optimization; MPC; decentralized control; centralized control,on-ramp merge; merge/merging area; highway segment/corridor; intersection,CAV,Bottleneck activation/throughput; Queueing/delay; Stop-and-go waves / flow stability,delay/travel time/queue; throughput/capacity; fuel/energy; safety,present,Study details verified and DOI verified from the published study
Perplexity table P1; Perplexity bibliography,Perplexity selected table; Perplexity bibliography,Lighthill 1955,1955,On kinematic waves II. A theory of traffic flow on long crowded roads,M. J. Lighthill and G. B. Whitham,Proceedings of the Royal Society A,https://doi.org/10.1098/rspa.1955.0089,,Analytical/modeling,Single link; macroscopic; long crowded roads; bottleneck,N/A,Foundational theory,Foundational theory; Direct bottleneck/congestion mitigation,Tier 3,PDE kinematic-wave traffic-flow modeling,flow-density relationship; shock waves; traffic humps; bottleneck hold-up; queues; wave propagation; junction flow,No,No,Lighthill and Whitham 1955 developed kinematic-wave traffic-flow theory for long crowded roads. This is relevant because it explains shock-wave propagation queue growth and bottleneck hold-up mechanisms that later AV and CAV control studies attempt to mitigate.,Foundational macroscopic theory with qualitative agreement noted but quantitative validation not established in the paper,Study details verified,Retained after duplicate merge,Longitudinal,Traffic-flow modeling,Single link; macroscopic; bottleneck,N/A,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Queueing/delay; Shock waves,delay/travel time/queue; throughput/capacity; shock-wave propagation,present,Study details verified and DOI verified from the published study
Perplexity table P2,Perplexity selected table,Treiber 2013,2013,Microscopic Calibration and Validation of Car-Following Models – A Systematic Approach,Martin Treiber and Arne Kesting,Procedia - Social and Behavioral Sciences,https://doi.org/10.1016/j.sbspro.2013.05.050,,Methodological calibration/validation,urban xFCD and NGSIM trajectory data,N/A,Foundational theory,Foundational theory; Longitudinal traffic-flow modeling,Tier 3,Car-following model calibration and validation,fit quality; robustness; parameter orthogonality; completeness; plausible parameter values,Implicit,No,Treiber and Kesting 2013 systematically compared local maximum-likelihood and global gap-based calibration for car-following models using real and generated trajectory data. The study found that global calibration using gap errors was more reliable and robust than local acceleration-based calibration but it did not evaluate AV control or congestion mitigation directly.,Methodological study only; limited direct congestion metrics; real-data tests focused on selected xFCD and NGSIM trajectories; authors note noisier NGSIM data need further systematic investigation.,Study details verified,Kept / merged unique record,Longitudinal,Traffic-flow modeling,urban xFCD and NGSIM trajectory data,N/A,Stop-and-go waves / flow stability,calibration error; robustness; parameter plausibility,present,Updated authors venue study type AV technology theme tier metrics finding caveats and evidence quality from the published study
Perplexity table P3; Perplexity bibliography,Perplexity selected table; Perplexity bibliography,Laval 2006,2006,Lane-changing in traffic streams,Jorge A. Laval and Carlos F. Daganzo,Transportation Research Part B: Methodological,https://doi.org/10.1016/j.trb.2005.04.003,,Analytical/modeling,freeway lane-drop and moving bottleneck,N/A,Foundational theory,Foundational theory; Lateral/lane-changing control; Direct bottleneck/congestion mitigation; Negative or mixed effects,Tier 3,Hybrid kinematic-wave and lane-changing particle model,capacity drop; bottleneck discharge rate; vehicle accumulation; lane-changing rate; moving-bottleneck capacity,Yes,No,Laval and Daganzo 2006 developed a hybrid multilane model where lane-changing vehicles create voids and act as moving bottlenecks. The model reproduced a lane-drop discharge drop from about 2900 vph to 2630 vph and linked lane-changing activity to capacity drop but it is a foundational traffic-flow model rather than an AV control study.,No AV or CAV controller is modeled; lane-choice behavior is simplified; authors note that complex environments require testing once reliable data become available.,Study details verified,Retained after duplicate merge,Lateral,Traffic-flow modeling,freeway lane-drop and moving bottleneck,N/A,Bottleneck activation/throughput; Capacity drop; Lane-changing friction / gaps,throughput/capacity; lane-changing rate; accumulation,present,Updated authors study type AV technology method metrics finding caveats evidence quality and standardized fields from the published study; retained duplicate merge note
Perplexity table P4; Undermind #189; Perplexity bibliography,Perplexity selected table; Undermind catalog; Perplexity bibliography,Van Arem 2006,2006,The Impact of Cooperative Adaptive Cruise Control on Traffic-Flow Characteristics,"Bart van Arem, Cornelie J. G. van Driel, and Ruben Visser",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2006.884615,75,Microsimulation,highway lane-drop merge from four to three lanes,CACC; ACC,Longitudinal control,Longitudinal control; Cooperative merging/platooning; Negative or mixed effects,Tier 2,Rule-based CACC with vehicle-to-vehicle communication,shockwaves; average speed; highest 5-min traffic volume as capacity proxy; merging failures,Yes,No,Van Arem et al. 2006 simulated CACC in MIXIC for a four-lane to three-lane highway lane-drop scenario. The study found that high CACC penetration reduced shockwaves and improved stability with slight capacity benefits but close CACC platoons created merging conflicts when communication was limited to longitudinal control.,Simulation-only evidence; no communication or sensor failures modeled; congestion simulation realism is noted as a limitation; dedicated CACC lanes degraded performance at low penetration; lateral cooperation was not included.,Study details verified,Retained after duplicate merge,Longitudinal; Cooperative,ACC/CACC,highway lane-drop merge from four to three lanes,CACC; ACC,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Lane-changing friction / gaps,throughput/capacity; speed/stability; shockwave count,present,Updated authors setting study type method metrics finding limitations evidence quality and standardized fields from the published study; retained duplicate merge note
Perplexity table P10,Perplexity selected table,Malikopoulos 2017,2017,Impact of connected and automated vehicles on traffic flow,Jackeline Rios-Torres and Andreas A. Malikopoulos,2017 IEEE 20th International Conference on Intelligent Transportation Systems,https://doi.org/10.1109/ITSC.2017.8317654,,Simulation,Highway on-ramp merging,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Cooperative merging/platooning,Tier 1,Closed-form optimal control for cooperative merging,Fuel consumption; travel time; flow-density stability; stop-and-go at merge,No,No,Rios-Torres and Malikopoulos 2017 studied closed-form optimal coordination of CAVs at an on-ramp merge. The simulation showed lower fuel consumption and travel time plus more stable flow-density patterns under full CAV penetration but used a simplified single-lane merge with 100 percent CAVs.,Simulation-only evidence; full penetration case only; communication instability and mixed penetration left for future work,Study details verified,Kept / merged unique record,Cooperative,Optimization/optimal control,Highway on-ramp merging,CAV,Bottleneck activation/throughput; Stop-and-go waves / flow stability,throughput/capacity; delay/travel time/queue; fuel/emissions/energy; speed/stability,present,Updated authors venue study type metrics limitations and finding from the published study
Perplexity table P14; Undermind #167,Perplexity selected table; Undermind catalog,Reza Vatani Nezafat 2019,2019,Deep Reinforcement Learning Approach for Lagrangian Control: Improving Freeway Bottleneck Throughput Via Variable Speed Limit,Reza Vatani Nezafat,PhD dissertation. Old Dominion University,https://doi.org/10.25777/dc8z-c232,0.4,RL simulation/benchmark,Sag curve; lane-drop; on-ramp bottlenecks,CV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; RL/MARL,Tier 1,Deep RL A3C variable speed limit control,Bottleneck delay; throughput; exit flow; density; CV market penetration,Yes,No,Nezafat 2019 developed A3C-based VSL control through connected vehicles for sag curve lane reduction and on-ramp freeway bottlenecks. The dissertation reported delay reduction and throughput improvement versus feedback control across bottleneck types and CV penetration levels but relied on microsimulation and assumed compliant CVs.,Simulation-only evidence; assumed complete CV compliance; safety environmental maintenance and road design impacts outside scope,Study details verified,Retained after duplicate merge,Longitudinal,RL/MARL,Sag curve; lane-drop; on-ramp bottlenecks,CV,Bottleneck activation/throughput; Queueing/delay; Capacity drop,throughput/capacity; delay/travel time/queue; speed/stability,present,Promoted relevance to Tier 1 and updated technology to CV based on dissertation abstract and methods
Perplexity table P15; Undermind #109; Perplexity bibliography,Perplexity selected table; Undermind catalog; Perplexity bibliography,Wu 2021,2021,Flow: A Modular Learning Framework for Mixed Autonomy Traffic,Cathy Wu; Abdul Rahman Kreidieh; Kanaad Parvate; Eugene Vinitsky; Alexandre M. Bayen,IEEE Transactions on Robotics,https://doi.org/10.1109/TRO.2021.3087314,25,RL simulation/benchmark,Ring road; multilane ring; figure-eight intersection; merge and imported networks,AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; RL/MARL; Longitudinal control; Lateral/lane-changing control,Tier 1,Deep RL framework for AV control in mixed autonomy,Average velocity; stop-and-go wave damping; lane changing; intersection delay; system-level velocity,Yes,No,Wu et al. 2021 presented Flow as a modular deep RL framework for mixed-autonomy traffic with ring road multilane and intersection scenarios. The study found learned AV controllers improved system velocity by up to 57 percent with 4 to 7 percent AV adoption and eliminated stop-and-go traffic in single-lane tests but remained simulation-based.,Simulation-only evidence; larger realistic networks and safe deployment remain open; global convergence stability robustness and safety guarantees not established,Study details verified,Retained after duplicate merge,Longitudinal; Lateral; Cooperative,RL/MARL,Ring road; multilane ring; figure-eight intersection; merge and imported networks,AV,Stop-and-go waves / flow stability; Lane-changing friction / gaps; Queueing/delay,throughput/capacity; speed/stability; string stability/wave damping; delay/travel time/queue,present,Promoted relevance to Tier 1 and expanded setting methods metrics limitations and finding from the published study
Perplexity table P17 | Perplexity bibliography,Perplexity selected table | Perplexity bibliography,Rossi 2018,2018,Routing autonomous vehicles in congested transportation networks: structural properties and coordination algorithms,Federico Rossi | Rick Zhang | Yousef Hindy | Marco Pavone,Autonomous Robots,https://doi.org/10.1007/s10514-018-9750-5,,Analytical modeling and simulation,Urban capacitated road network and AMoD fleet,Autonomous vehicles | AMoD,Network routing,Direct bottleneck/congestion mitigation | Network/routing,Tier 2,Network flow optimization and congestion-aware rebalancing,Network congestion from routing and rebalancing | customer travel time | wait time | link capacity,No,Yes,Rossi et al. 2018 modeled AMoD routing and rebalancing as flows on a capacitated road network. The study showed that properly coordinated rebalancing need not increase congestion in symmetric networks and that the proposed algorithm reduced excess congestion relative to point-to-point methods.,Uses simplified congestion constraints and does not explicitly model intersections spillback or bottleneck lane reductions in the core model.,Study details verified,Retained after duplicate merge,Route/network,Optimization/optimal control,Urban road network | AMoD,AV,Network congestion distribution,travel time | wait time | link capacity | congestion avoidance,present,merged duplicate metadata | verified authors venue and DOI from published study
Perplexity table P19 | Undermind #115,Perplexity selected table | Undermind catalog,Calvert 2017,2017,Will Automated Vehicles Negatively Impact Traffic Flow?,S. C. Calvert | W. J. Schakel | J. W. C. van Lint,Journal of Advanced Transportation,https://doi.org/10.1155/2017/3082781,21,Microsimulation with literature review,Three-lane motorway corridor with on-ramp bottleneck,Low-level automated vehicles | ACC with lane keeping,Negative or mixed effects,Foundational theory | Direct bottleneck/congestion mitigation | Negative or mixed effects,Tier 3,Microsimulation of ACC-LKA behavior,Capacity | discharge flow | capacity drop | travel time | on-ramp bottleneck,Yes,No,Calvert et al. 2017 studied empirically calibrated low-level automated vehicles in mixed freeway traffic near an on-ramp bottleneck. The study found small negative effects on capacity and travel time at low to moderate penetration and benefits only above roughly 70 percent penetration while capacity drop increased slightly.,Simulation-only evidence with limited behavioral ground truth for driver interaction with automated vehicles. Results depend on ACC gap settings and model assumptions.,Study details verified,Retained after duplicate merge,Longitudinal and lateral,Simulation,Freeway mixed traffic | on-ramp bottleneck,AV | ACC-LKA,Bottleneck activation/throughput | Capacity drop | Stop-and-go waves / flow stability,throughput/capacity | delay/travel time | discharge flow | capacity drop,present,merged duplicate metadata | verified authors venue and DOI from published study
Perplexity table P20,Perplexity selected table,Adam 2025,2025,A Systematic Review of the Impact of Autonomous Vehicles on Transportation Networks,Reem Adam | Ahmed Alhammadi | Akmal Abdelfatah | Tarig Ali,Journal of Sustainable Development of Energy Water and Environment Systems,https://doi.org/10.13044/j.sdewes.d13.0583,,Systematic review,Transportation networks with intersections freeways mixed traffic and AV-exclusive lanes,AV | CAV,Network-level AV impacts,Direct bottleneck/congestion mitigation | Negative or mixed effects | Review/survey,Tier 2,Review of simulation and network studies,Travel time | delay | road capacity | congestion | traffic conflicts | AV lane effects,Yes,Yes,Adam et al. 2025 reviewed AV impacts on transportation networks using PRISMA-style literature review methods. The review reports that AVs can reduce travel time delay and congestion at suitable penetration rates but dedicated AV lanes may worsen congestion for non-AV traffic at low penetration or poor placement.,Secondary review evidence rather than original modeling. Findings aggregate heterogeneous studies with different scenarios assumptions and validation levels.,Study details verified,Kept / merged unique record,Route/network/lane-use,Review/survey,Mixed networks with AV-exclusive lanes,AV | CAV,Bottleneck activation/throughput | Network congestion distribution | Lane-changing friction / gaps,travel time | delay | throughput/capacity | speed/stability | conflicts,present,verified authors venue DOI and review scope from published study
Perplexity table P21,Perplexity selected table,Perrine 2020,2020,Anticipating long-distance travel shifts due to self-driving vehicles,Kenneth A. Perrine; Kara M. Kockelman; Yantao Huang,Journal of Transport Geography,https://doi.org/10.1016/j.jtrangeo.2019.102547,,Modeling,US national long-distance interregional travel,AV,Negative or mixed effects,Negative or mixed effects; Network/routing,Tier 2,Travel-demand modeling,Mode shift; destination shift; passenger-miles traveled; airline trips,No,Yes,Perrine et al. 2020 added an AV mode to the rJourney long-distance travel-demand model for the United States. The study found that AVs could shift travel from air to personal vehicles and reduce total long-distance passenger-miles by 6.7% under the base scenario while increasing car plus AV trips at longer distances.,Model subset only; AV parameters estimated; IIA issue from adding AV as separate mode; field validation unavailable,Study details verified,Kept / merged unique record,Route/network,Travel-demand modeling,Regional/national network,AV,Induced demand / mode shift,PMT; mode share; trip distance; airline revenue,present,Verified from the published study. DOI and bibliographic metadata confirmed. Cites page 1 abstract and pages 7-10 results and conclusions.
Perplexity table P21,Perplexity selected table,Zhao and Kockelman 2018,2018,Anticipating the Regional Impacts of Connected and Automated Vehicle Travel in Austin Texas,Yong Zhao; Kara M. Kockelman,Journal of Urban Planning and Development,https://doi.org/10.1061/(ASCE)UP.1943-5444.0000463,,Modeling,Austin Texas regional travel-demand network,CAV; SAV,Negative or mixed effects,Negative or mixed effects; Network/routing,Tier 2,Travel-demand modeling,Induced VKT; congestion delay; average speed; empty travel,No,Yes,Zhao and Kockelman 2018 modified the Austin CAMPO travel-demand model to test CAV and SAV scenarios. The study found that AV modes could raise regional VKT by roughly 10% or more and increase delay while lowering average speed unless ridesharing pricing or traffic-flow improvements offset demand growth.,Conventional trip-based model; simplified MNL mode choice; empty-vehicle travel not directly simulated; results sensitive to VOTT parking cost and operating cost assumptions,Bibliographic details verified,Kept / merged unique record,Route/network,Travel-demand modeling,Regional road network,CAV; SAV,Induced demand / VKT,VKT; delay; average speed; mode share,present,Regional base cases and sensitivity references verified.
Perplexity table P22,Perplexity selected table,Li 2025,2025,Highway capacity of mixed traffic flow with autonomous vehicles: A review,Yuxuan Li; Jinzi Zheng; Lingqiao Qin; Haijian Li,Physica A: Statistical Mechanics and its Applications,https://doi.org/10.1016/j.physa.2025.130653,,Review/survey,Highways and other road types with mixed AV and HDV traffic,AV; CAV,Review/survey,Review/survey; Longitudinal control; Cooperative merging/platooning,Tier 2,Review of capacity models and simulation methods,Highway capacity; penetration rate; platoon size; dedicated lanes; road type effects,Sometimes,Sometimes,Li et al. 2025 reviewed highway capacity studies for mixed AV and HDV traffic across urban roads freeways intersections and networks. The review found that AV effects on capacity depend strongly on penetration rate platooning communication capability dedicated lanes and road type with some studies reporting negative or unclear effects for lower-level AVs.,Review only; underlying studies use inconsistent factors and capacity definitions; limited empirical evidence; future publication status should be checked if citing before final issue,Study details verified,Kept / merged unique record,Multiple,Review/survey,Highways with mixed AV/HDV,AV; CAV,Capacity change / mixed traffic,throughput/capacity; penetration rate; platoon size,present,Verified from the published study. DOI and metadata confirmed. Recent 2025 paper. Cites page 1 abstract and pages 14-17 discussion and conclusion.
Perplexity table P23; Perplexity bibliography,Perplexity selected table; Perplexity bibliography,Yuchen Pan 2024,2024,The impacts of connected autonomous vehicles on mixed traffic flow: A comprehensive review,Yuchen Pan; Yu Wu; Lu Xu; Chengyi Xia; David L. Olson,Physica A: Statistical Mechanics and its Applications,https://doi.org/10.1016/j.physa.2023.129454,,Review/survey,Mixed traffic flow; urban road transit; connected traffic environments,CAV; AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; RL/MARL; Review/survey,Tier 1,Comprehensive review of CAV impacts; longitudinal and lateral control; dedicated lanes; policy factors,Phantom congestion; traffic efficiency; stability; capacity; throughput; stop-and-go fluctuations,Sometimes,Sometimes,Pan et al. 2024 reviewed CAV impacts on mixed traffic flow with emphasis on traffic efficiency and congestion. The review reports that CAV connectivity and coordinated control can reduce phantom congestion and traffic fluctuations while improving capacity speed flow stability and emissions but evidence is synthesized from prior modeling and simulation studies rather than new experiments.,Review-only evidence; heterogeneous source studies; long-term net impacts on fuel consumption and emissions remain uncertain; policy and deployment effects depend on penetration rate and implementation context.,Study details verified; DOI verified in the published study,Retained after duplicate merge,Longitudinal; Lateral; Cooperative; Route/network,Review/survey; ACC/CACC; RL/MARL; Traffic-flow modeling,Mixed-traffic networks; Urban road network,CAV; AV,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop; Network congestion distribution,throughput/capacity; speed/stability; delay/travel time/queue; emissions/fuel; safety/conflicts,present,verified against published study; merged duplicate metadata
﻿Perplexity table P24,Perplexity selected table,Jinjue Li 2023,2023,A survey on urban traffic control under mixed traffic environment with connected automated vehicles,Jinjue Li; Chunhui Yu; Zilin Shen; Zicheng Su; Wanjing Ma,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2023.104258,,Review/survey,Urban intersections; arterial corridors; urban networks; mixed RV CV CAV traffic,CAV; CV; AV,Network/routing,Network/routing; Signal control; Trajectory planning; Cooperative signal-trajectory control; Review/survey,Tier 2,Survey of signal control; CAV trajectory and route planning; cooperative signal-trajectory control; CAV-dedicated facilities,Urban congestion; vehicle delay; queue length; travel time; throughput; fuel consumption; safety conflicts; coordination,Sometimes,Yes,Li et al. 2023 surveyed urban traffic control under mixed RV CV CAV environments across signal timing trajectory planning route planning cooperative control and CAV-dedicated facilities. The review shows that CAV trajectory and route planning can influence spatial-temporal traffic distribution and improve delay throughput fuel and safety metrics but most studies remain intersection-focused and face RV uncertainty compliance and computational scalability issues.,Review-only evidence; limited network-level studies; many methods rely on simplified assumptions about RV behavior CV compliance CAV controllability or known trajectory planning strategies.,Study details verified; DOI verified in the published study,Kept / merged unique record,Route/network/lane-use; Cooperative; Longitudinal; Lateral,Optimization/optimal control; MPC; RL/MARL; Review/survey; Traffic signal control,Urban networks; Intersections; Arterial corridors; Mixed traffic,CAV; CV; AV,Network congestion distribution; Bottleneck activation/throughput; Queue formation/discharge; Lane-changing friction / gaps,delay/travel time/queue; throughput/capacity; stops; fuel/emissions; safety/conflicts,present,verified against published study
Perplexity bibliography,Perplexity bibliography,Treiber 2006,2006,Delays inaccuracies and anticipation in microscopic traffic models,Martin Treiber; Arne Kesting; Dirk Helbing,Physica A: Statistical Mechanics and its Applications,https://doi.org/10.1016/j.physa.2005.05.001,,Analytical/modeling; simulation,single-lane longitudinal traffic; platoon; open freeway bottleneck,N/A contextual comparison to ACC,Foundational theory,Foundational theory; Longitudinal control; Stop-and-go waves,Tier 3,Human driver meta-model with reaction time; estimation error; temporal anticipation; spatial multi-anticipation,string stability; stop-and-go waves; congestion patterns; reaction-time destabilization,No,No,Treiber et al. 2006 generalized microscopic car-following models to include reaction times estimation errors and spatial/temporal anticipation in platoon and bottleneck simulations. The study found that anticipation can compensate for destabilizing reaction times and estimation errors and can increase stop-and-go wave scales in agreement with empirical traffic data but it is foundational human-driver modeling rather than an AV control experiment.,Simulation-only evidence; single-lane longitudinal dynamics; identical driver-vehicle units; lane-changing and heterogeneous driving styles were not included.,Study details verified,Kept / merged unique record,Longitudinal,Traffic-flow modeling,Freeway bottleneck; platoon,N/A contextual ACC,Stop-and-go waves / flow stability; bottleneck congestion,string stability/wave damping; congestion pattern; wave period; propagation speed,present,Study details verified; corrected authors venue and study type; DOI verified from the published study
Perplexity bibliography,Perplexity bibliography,Lee 2025,2025,String stability analysis and design guidelines for PD controllers in ACC systems,Kangjun Lee; Chanhwa Lee,Sensors,https://doi.org/10.3390/s25113518,,Analytical controller design; simulation,homogeneous ACC vehicle-following platoon,ACC,Longitudinal control,Longitudinal control; ACC; string stability; platooning,Tier 2,PD controller under constant time-gap policy; frequency-domain string-stability analysis,individual vehicle stability; string stability; spacing error propagation,No,No,Lee and Lee 2025 developed practical gain-selection guidelines for PD controllers in ACC platoons under a constant time-gap policy. The study showed through transfer-function analysis and simulations that selected gains can ensure individual stability and string stability measured by spacing-error attenuation and H-infinity string-stability conditions but it assumes homogeneous vehicle dynamics and simplified longitudinal models.,Homogeneous platoon assumption; simplified longitudinal dynamics; simulation validation only; future work needed for heterogeneous vehicles sensor delays model uncertainty and CACC feedforward control.,Study details verified,Kept / merged unique record,Longitudinal,Feedback/control-theoretic; ACC/CACC,Vehicle-following platoon,ACC,Stop-and-go waves / flow stability,string stability/wave damping; spacing error; individual stability,present,Study details verified; corrected authors to Kangjun Lee and Chanhwa Lee; publication date and DOI verified from the published study
Perplexity bibliography,Perplexity bibliography,Daganzo 2002,2002,Ten strategies for freeway congestion mitigation with advanced technologies,Carlos F. Daganzo; Jorge Laval; Juan Carlos Muñoz,California PATH Research Report UCB-ITS-PRR-2002-3,https://escholarship.org/uc/item/4kd6v6qf,,Conceptual strategy report,freeway corridors; bottlenecks; ramps; HOV lanes; shoulders,N/A advanced traffic-control technologies,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; freeway control; lane management; ramp metering,Tier 3,Advanced freeway control strategies including dynamic lane assignment ramp metering dynamic HOV designation speed limits diversion and shoulder use,FIFO queues; non-FIFO queues; bottleneck capacity; lane-changing friction; delay,Yes conceptual,Yes conceptual,Daganzo et al. 2002 proposed ten technology-enabled freeway congestion mitigation strategies targeting bottleneck capacity and total delay. The report argued that dynamic lane assignments ramp metering HOV management speed limits diversion and shoulder-lane use can be field-tested with direct performance measures but it is not an AV/CAV control paper.,Conceptual report; strategies require field testing; benefits are argued from traffic-flow reasoning and prior observations rather than evaluated with a unified simulation or field experiment in this report.,Study details verified,Kept / merged unique record,Network/control; Lateral/merging,Traffic management; ramp metering; VSL/speed control,Freeway bottleneck; freeway corridor,N/A,Bottleneck activation/throughput; lane-changing friction / gaps; queueing/delay,throughput/capacity; delay/travel time/queue; speed/flow,present stable URL,Study details verified; corrected title authors venue and relevance from generic Tier 4 to foundational freeway-control Tier 3
Perplexity bibliography,Perplexity bibliography,Marczak 2015,2015,A macroscopic model for freeway weaving sections,"Marczak, F.; Leclercq, L.; Buisson, C.",Computer-Aided Civil and Infrastructure Engineering,https://doi.org/10.1111/mice.12119,,Analytical/modeling,weaving/diverge; freeway segment/corridor,N/A,Foundational theory,Foundational theory; Lateral/lane-changing control,Tier 3,Macroscopic weaving model; merge-diverge analytical capacity model,capacity drop; effective capacity; relative capacity drop; weaving lane changes; acceleration-deceleration voids,Yes,No,Marczak et al. 2015 developed a parsimonious macroscopic model for freeway weaving sections by representing weaving as two merges and two diverges. The study found that weaving lane changes endogenously reduce effective capacity through acceleration-deceleration voids and that acceleration and relaxation parameters strongly influence capacity drop measured using effective capacity and relative capacity drop.,Analytical and simulation-supported evidence only for a simplified one-main-lane and one-auxiliary-lane weaving section. Validation used one Grenoble data set and the authors note the need to extend the model to multilane non-FIFO configurations and additional field sites.,Study details verified,Retained after duplicate merge,Lateral/merging,Traffic-flow modeling,weaving/diverge; freeway segment/corridor,N/A,Lane-changing friction / gaps; Capacity drop,effective capacity; capacity drop; relative capacity drop,present,Study details verified and corrected authors venue AV/CAV technology tier and metrics
Perplexity bibliography,Perplexity bibliography,Zhou 2022,2022,Multi-agent reinforcement learning for cooperative lane changing of connected and autonomous vehicles in mixed traffic,"Zhou, W.; Chen, D.; Yan, J.; Li, Z.; Yin, H.; Ge, W.",Autonomous Intelligent Systems,https://doi.org/10.1007/s43684-022-00023-5,,RL simulation/benchmark,mixed traffic two-lane one-way highway simulation,CAV; AV,Lateral/lane-changing control,Lateral/lane-changing control; Cooperative merging/platooning; RL/MARL,Tier 2,MARL; multi-agent advantage actor-critic; cooperative lane-changing control,lane-changing friction; mixed-traffic efficiency; safety; comfort; reward; speed; headway; acceleration deviation,Yes,No,Zhou et al. 2022 formulated cooperative lane changing by multiple AVs in mixed highway traffic as a MARL problem using MA2C with local rewards and parameter sharing. The study reported better safety efficiency and comfort than several MARL benchmarks measured by episode reward speed headway collision and acceleration-comfort indicators but did not directly measure bottleneck throughput or capacity drop.,Simulation-only evidence in a simplified highway-env setting with IDM and MOBIL human-driver models. The study evaluates lane-change performance and comfort rather than field congestion outcomes such as queue discharge capacity drop or bottleneck throughput.,Study details verified,Kept / merged unique record,Lateral; Cooperative,RL/MARL,mixed traffic two-lane highway,CAV; AV,Lane-changing friction / gaps,reward; speed; headway; collisions; acceleration comfort,present,Study details verified and corrected year venue authors study setting and limitations
