corpus_id,manuscript_reference_number,citation_key,year,title,authors,journal_venue,doi_or_stable_url,manuscript_reference,review_role,coding_source,coding_completeness,study_type,av_cav_technology,primary_theme,relevance_tier,av_cav_decision_lever,design_method,coordination_implementation_mode,operational_application,facility_system_scale,mixed_traffic_condition,evidence_setting,congestion_mechanism,congestion_metric,key_finding,main_limitation,lane_changing_modeled,routing_modeled,source_ids,source,verification_status,audit_note,legacy_control_dimension,legacy_control_method,legacy_traffic_setting,legacy_congestion_mechanism,legacy_evaluation_metrics
M070,74,Talebpour 2016,2016,Influence of connected and autonomous vehicles on traffic flow stability and throughput,Alireza Talebpour and Hani S. Mahmassani,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2016.07.007,"Talebpour, A., & Mahmassani, H. S. (2016). Influence of connected and autonomous vehicles on traffic flow stability and throughput. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2016.07.007",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical string-stability analysis + microscopic simulation,Connected vehicles; AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Other / not clearly specified,Individual/onboard or not clearly specified,Traffic smoothing / mobile-actuator control,single-lane/platoon; on-ramp merge,Connected vehicles; AV; Penetration/controllable-share assumption; HDV/mixed-traffic behavior; Communication-reliability assumption,Analytical/theoretical; Simulation,Bottleneck activation/throughput; Stop-and-go waves / flow stability; String instability; Shockwave propagation,throughput/capacity; string stability/wave damping; speed/stability; fundamental diagram scatter,"Talebpour and Mahmassani (2016) developed an acceleration-modeling framework for regular, connected, and autonomous vehicles and evaluated mixed traffic using analytical string-stability analysis and microscopic simulation. The study found that connected and especially autonomous vehicles can improve string stability, suppress shockwave propagation, and increase throughput under some penetration scenarios, measured using stability thresholds, fundamental diagrams, and maximum throughput.","Results are illustrative and simulation/model-based; they depend on assumed car-following models, reaction times, sensor/communication assumptions, and penetration scenarios, and the authors note that real-world observations are needed for accurate modeling.",Yes,No/unclear,Undermind #95,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Analytical stability analysis; Microsimulation,single-lane/platoon; on-ramp merge,Bottleneck activation/throughput; Stop-and-go waves / flow stability; String instability; Shockwave propagation,throughput/capacity; string stability/wave damping; speed/stability; fundamental diagram scatter
M071,75,Treiber and Kesting 2012,2012,"Traffic flow dynamics: data, models and simulation",Martin Treiber; Arne Kesting,Springer Science & Business Media,"https://books.google.com/books?hl=en&lr=&id=sWiUjVAGTVgC&oi=fnd&pg=PR5&dq=Treiber,+M.,+&+Kesting,+A.+(2012).+Traffic+flow+dynamics:+data,+models+and+simulation.+Springer+Science+&+Business+Media.&ots=CTfqOcfVmt&sig=ziV-hkZ_w8tnzT-PTnPs0-ZKlyM#v=onepage&q=Treiber, M., & Kesting, A. (2012). Traffic flow dynamics: data, models and simulation. Springer Science & Business Media.&f=false","Treiber, M., & Kesting, A. (2012). Traffic flow dynamics: data, models and simulation. Springer Science & Business Media.",Included as mechanism-supporting evidence,Bibliographic verification only; book/ebook unavailable,Limited—no full-text recoding,Reference book / traffic-flow synthesis,Not applicable / broad traffic-flow context,Foundational traffic-flow theory and modeling,Mechanism-supporting,Not recoded without full text,Not applicable,Not applicable,Not applicable,Broad traffic-flow contexts,Not recoded without full text,Reference synthesis; no full-text recoding,"Traffic-flow stability, waves, and congestion mechanisms (broad reference role)",Not recoded without full text,Reference book retained for foundational traffic-flow concepts; no new detailed coding was inferred without the ebook/full text.,Book/ebook unavailable for this corpus update.,Not recoded,Not recoded,,Manuscript reference + uploaded PDF/audit verification,bibliographically verified outside coded matrix — book/full text unavailable,Foundational textbook/reference. An ebook/full text was not supplied and is not available according to the author note. Retained as a bibliographic/foundational source; no new application coding or Figure 2 marker support was inferred.,,,,,
M072,76,Treiber et al. 2007,2007,Influence of reaction times and anticipation on stability of vehicular traffic flow,Martin Treiber; Arne Kesting; Dirk Helbing,"Transportation Research Record, 1999(1), 23–29",https://doi.org/10.3141/1999-03,"Treiber, M., Kesting, A., & Helbing, D. (2007). Influence of reaction times and anticipation on stability of vehicular traffic flow. Transportation Research Record, 1999(1), 23-29.",Included as mechanism-supporting evidence,Manual full-text coding from uploaded PDF,Mechanism-supporting coding from full text,Simulation and stability analysis of human car-following behavior,Human-driver model; not an AV/CAV intervention,String stability and human-driver reaction/anticipation,Mechanism-supporting,Not applicable to AV/CAV intervention,Not applicable,Not applicable,Not applicable,Single-lane car-following/platoon,Human-driver heterogeneity in reaction times,Analytical/theoretical; Simulation,String instability; disturbance amplification; stop-and-go-wave formation,Local stability; string stability; perturbation amplification; acceleration response,"Simulates how reaction time, acceleration capability, temporal anticipation, and multivehicle look-ahead affect local and string stability of human-driven traffic.",Mechanism-supporting human-driver model study; lane changes are excluded and it does not test an AV/CAV congestion-control strategy.,No,No,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,"Full text supplied and verified. Simulation study of human-driver reaction time, anticipation, local stability, and string stability. Mechanism-supporting evidence only; not an AV/CAV congestion-control application and therefore not used for operational application-map marker support.",,,,,
M073,77,Van Arem 2006,2006,The Impact of Cooperative Adaptive Cruise Control on Traffic-Flow Characteristics,"Bart van Arem, Cornelie J. G. van Driel, and Ruben Visser",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2006.884615,"van Arem, B., van Driel, C. J. G., & Visser, R. (2006). The impact of cooperative adaptive cruise control on traffic-flow characteristics. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2006.884615",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microsimulation,CACC; ACC,Longitudinal control,Tier 2,Acceleration/deceleration,Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,highway lane-drop merge from four to three lanes,CACC; ACC; Penetration/controllable-share assumption; Communication-reliability assumption,Simulation,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Lane-changing friction / gaps,throughput/capacity; speed/stability; shockwave count,Van Arem et al. 2006 simulated CACC in MIXIC for a four-lane to three-lane highway lane-drop scenario. The study found that high CACC penetration reduced shockwaves and improved stability with slight capacity benefits but close CACC platoons created merging conflicts when communication was limited to longitudinal control.,Simulation-only evidence; no communication or sensor failures modeled; congestion simulation realism is noted as a limitation; dedicated CACC lanes degraded performance at low penetration; lateral cooperation was not included.,Yes,No,Perplexity table P4; Undermind #189; Perplexity bibliography,Perplexity selected table; Undermind catalog; Perplexity bibliography,matched to uploaded coded matrix,,Longitudinal; Cooperative,ACC/CACC,highway lane-drop merge from four to three lanes,Bottleneck activation/throughput; Stop-and-go waves / flow stability; Lane-changing friction / gaps,throughput/capacity; speed/stability; shockwave count
M074,78,Eugene Vinitsky 2023,2023,Optimizing Mixed Autonomy Traffic Flow with Decentralized Autonomous Vehicles and Multi-Agent Reinforcement Learning,"Eugene Vinitsky, Nathan Lichtlé, Kanaad Parvate, and Alexandre Bayen",ACM Transactions on Cyber-Physical Systems,https://doi.org/10.1145/3582576,"Vinitsky, E., Lichtlé, N., Parvate, K., & Bayen, A. M. (2023). Optimizing mixed autonomy traffic flow with decentralized autonomous vehicles and multi-agent reinforcement learning. ACM Transactions on Cyber-Physical Systems. https://doi.org/10.1145/3582576",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration,RL/MARL; Rule-based/control law,Centralized; Distributed/decentralized,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; lane-reduction bottleneck,AV; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Capacity drop; bottleneck throughput loss; queue formation; inflow regulation,Bottleneck outflow; throughput; penetration rate; inflow-outflow curves; controller robustness,Vinitsky et al. 2023 studied decentralized AV acceleration control with multi-agent reinforcement learning in a two-stage lane-reduction bottleneck. The study reported bottleneck throughput improvements from 20% at 5% AV penetration to 33% at 40% penetration and showed RL outperforming tuned feedback control.,The study is simulation-based with SUMO and Flow and disables lane changing in the main experiments while later showing that lane changing can degrade performance. Training instability and simplified radar sensing are also noted limitations.,No,No,Undermind #24,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Multi-agent reinforcement learning; decentralized feedback control; mobile metering,freeway bottleneck; lane-reduction bottleneck,Capacity drop; bottleneck throughput loss; queue formation; inflow regulation,Bottleneck outflow; throughput; penetration rate; inflow-outflow curves; controller robustness
M075,79,Eugene Vinitsky 2018,2018,Lagrangian Control through Deep-RL: Applications to Bottleneck Decongestion,"Eugene Vinitsky, Kanaad Parvate, Aboudy Kreidieh, Cathy Wu, and Alexandre Bayen",2018 21st International Conference on Intelligent Transportation Systems (ITSC),https://doi.org/10.1109/ITSC.2018.8569615,"Vinitsky, E., Parvate, K., Kreidieh, A., Wu, C., & Bayen, A. M. (2018). Lagrangian control through deep-RL: Applications to bottleneck decongestion. 2018 21st International Conference on Intelligent Transportation Systems (ITSC). https://doi.org/10.1109/ITSC.2018.8569615",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic simulation with deep RL,AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed,RL/MARL; Rule-based/control law,Centralized,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Multi-stage freeway bottleneck,AV; Penetration/controllable-share assumption,Simulation,Bottleneck activation/throughput; Capacity drop; Queueing/delay,throughput/capacity; bottleneck outflow; inflow-outflow curve; delay/travel time/queue,Vinitsky 2018 used deep reinforcement learning for Lagrangian longitudinal control of AVs in a simulated two-stage freeway bottleneck modeled after the San Francisco-Oakland Bay Bridge. With 10 percent AV penetration the controller stabilized bottleneck outflow near 1000 veh/h and improved high-inflow throughput by about 200 veh/h or 25 percent but lane-changing was disabled and field validation was not provided.,Simulation-only evidence; lane-changing disabled; centralized controller; simplified Bay Bridge bottleneck; performance under lane-changing and lower AV penetration left for future work.,No,No,Undermind #2; Perplexity table P13; Perplexity bibliography,Undermind catalog; Perplexity selected table; Perplexity bibliography,matched to uploaded coded matrix,,Longitudinal,RL/MARL; Lagrangian control; Variable-speed control,Multi-stage freeway bottleneck,Bottleneck activation/throughput; Capacity drop; Queueing/delay,throughput/capacity; bottleneck outflow; inflow-outflow curve; delay/travel time/queue
M076,80,Vishnoi et al. 2024,2024,CAV Traffic Control to Mitigate the Impact of Congestion from Bottlenecks: A Linear Quadratic Regulator Approach and Microsimulation Study,"Suyash C. Vishnoi, Junyi Ji, MirSaleh Bahavarnia, Yuhang Zhang, Ahmad F. Taha, Christian G. Claudel, and Daniel B. Work",Journal on Autonomous Transportation Systems,https://doi.org/10.1145/3636464,"Vishnoi, S. C., Ji, J., Bahavarnia, M., Zhang, Y., Taha, A. F., Claudel, C. G., & Work, D. B. (2024). CAV traffic control to mitigate the impact of congestion from bottlenecks: A linear quadratic regulator approach and microsimulation study. Journal on Autonomous Transportation Systems. https://doi.org/10.1145/3636464",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation + microsimulation,CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed,Optimal control; Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; freeway segment/corridor,CAV; AV,Analytical/theoretical; Simulation,Bottleneck activation/throughput; capacity drop; jam propagation,delay/travel time/queue; throughput/capacity; speed/stability; computation time,Vishnoi et al. 2024 studied LQR-based speed control of CAV platoons treated as moving bottlenecks on a freeway with a fixed bottleneck. The study showed that GN-LQR and GN-LQRP improved mean speed and reduced bottleneck jam impacts with computation times suitable for near real-time control while performing comparably to PI and MPC controllers.,Macroscopic results depend on CTM assumptions and full-lane CAV platoons. Microsimulation used limited scenarios and random seeds. The approach requires one CAV per lane and does not model ramps in the main macroscopic scenario.,No,No,Undermind #27,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Feedback/control-theoretic; LQR; Simulation,freeway bottleneck; freeway segment/corridor,Bottleneck activation/throughput; capacity drop; jam propagation,delay/travel time/queue; throughput/capacity; speed/stability; computation time
M077,81,Kentaro Wada 2019,2019,Continuum car-following model of capacity drop at sag and tunnel bottlenecks,"Kentaro Wada, Irene Martínez, and Wen-Long Jin",Transportation Research Procedia,https://doi.org/10.1016/j.trpro.2019.05.035,"Wada, K., Martínez, I., & Jin, W. L. (2019). Continuum car-following model of capacity drop at sag and tunnel bottlenecks. Transportation Research Procedia, 38, 668-687.",Included as mechanism-supporting evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling,N/A or needs verification,Foundational traffic-flow theory,Tier 3,Acceleration/deceleration; Desired time headway/spacing gap,Not applicable,Not applicable / not clearly specified,Not applicable,sag curve; tunnel bottleneck; freeway bottleneck,N/A or needs verification,Analytical/theoretical; Simulation,Bottleneck activation/throughput; Capacity drop; Queue discharge acceleration,throughput/capacity; speed profile; acceleration rate; transition time,Wada et al. 2019 developed a second-order continuum car-following model for sag and tunnel bottlenecks with location-dependent time gaps and bounded acceleration. The model reproduced stationary speed profiles and a 10 percent capacity drop with dropped capacity about 1325 veh/h/lane and about 20 min transition time but it remained a theoretical and calibrated simulation model.,Focused on simplified sag and tunnel bottlenecks; calibration used limited empirical speed profiles; AV control was discussed only as future use,No,No/unclear,Undermind #185,Undermind catalog,matched to uploaded coded matrix,Excluded from application-map support if foundational/review-only.,Longitudinal,Traffic-flow modeling,sag curve; tunnel bottleneck; freeway bottleneck,Bottleneck activation/throughput; Capacity drop; Queue discharge acceleration,throughput/capacity; speed profile; acceleration rate; transition time
M078,82,Wang et al. 2016,2016,Connected variable speed limits control and car-following control with vehicle-infrastructure communication to resolve stop-and-go waves,"Meng Wang, Winnie Daamen, Serge P. Hoogendoorn, and Bart van Arem","Journal of Intelligent Transportation Systems, 20(6), 559–572",https://doi.org/10.1080/15472450.2016.1157022,"Wang, M., Daamen, W., Hoogendoorn, S. P., & van Arem, B. (2016). Connected variable speed limits control and car-following control with vehicle-infrastructure communication to resolve stop-and-go waves. Journal of Intelligent Transportation Systems, 20(6), 559–572. https://doi.org/10.1080/15472450.2016.1157022",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic simulation; proof-of-concept integrated traffic and vehicle control,Connected AV/IV; car-following control vehicles; V2I/DSRC,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed; Desired time headway/spacing gap; Entry/access/release decision,MPC; Rule-based/control law,Infrastructure-assisted V2I/I2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,Freeway bottleneck; single-link traffic smoothing; mixed traffic,Connected AV/IV; car-following control vehicles; V2I/DSRC; Compliance assumption; Communication-reliability assumption,Analytical/theoretical; Simulation,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop,TTS/travel time; resolved jams; new jams; VSL control effort; speed/flow/density; fuel consumption,"Wang et al. (2016) studied a connected VSL and MPC-based car-following control system in a two-lane freeway bottleneck simulation. The study showed that V2I actuation of speed limits by CFC vehicles resolved stop-and-go waves in all tested mixed-CFC cases and reduced TTS by more than 80 veh-h versus uncontrolled all-human traffic and by more than 30 veh-h versus controlled all-human traffic, with lower average fuel consumption, but some new jams could be triggered downstream after VSL release.","Simulation-only proof of concept; assumes full CFC compliance with VSL, no sensor errors, negligible DSRC delay, simplified vehicle dynamics, and human-executed lane changes; SPECIALIST parameters were heuristically tuned rather than optimized; practical delays/human factors left for future work.","Yes, but lateral decisions/maneuvers of CFC vehicles are human-driven; not AV-controlled",No,﻿Undermind #51,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,VSL/speed harmonization; MPC; Car-following control; V2I/infrastructure control,Freeway bottleneck; single-link traffic smoothing; mixed traffic,Stop-and-go waves / flow stability; Bottleneck activation/throughput; Capacity drop,TTS/travel time; resolved jams; new jams; VSL control effort; speed/flow/density; fuel consumption
M079,83,Shian Wang 2023,2023,A general approach to smoothing nonlinear mixed traffic via control of autonomous vehicles,"Shian Wang, Mingfeng Shang, Michael W. Levin, and Raphael Stern",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2022.103967,"Wang, S., Shang, M., Levin, M. W., & Stern, R. E. (2023). A general approach to smoothing nonlinear mixed traffic via control of autonomous vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2022.103967",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling; numerical simulation,AV; ACC,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,single-lane mixed traffic; vehicle platoon/string; traffic smoothing,AV; ACC; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Stop-and-go waves / flow stability; String instability; Bottleneck activation/throughput,speed/stability; average speed variation; string stability/wave damping; safety spacing,"Wang et al. (2023) developed nonlinear feedback/additive AV controllers that make AVs track a virtual speed profile using only local spacing and relative-speed information. Analytical results prove tracking convergence and sufficient car-following safety conditions, and IDM/ACC numerical experiments show reduced speed disturbance and possible head-to-tail string stability at sufficient AV market penetration.","Lane changing is explicitly neglected for mathematical tractability and treated as an external perturbation; evidence is analytical and simulation-based rather than field validation. The authors note future work should include lane changing, driver stochasticity, and fuel/emissions impacts.",No,No,Undermind #43,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Feedback/control-theoretic; Nonlinear control; Car-following control,single-lane mixed traffic; vehicle platoon/string; traffic smoothing,Stop-and-go waves / flow stability; String instability; Bottleneck activation/throughput,speed/stability; average speed variation; string stability/wave damping; safety spacing
M080,84,Shian Wang 2022,2022,Optimal Control of Autonomous Vehicles for Traffic Smoothing,"Shian Wang, Raphael E. Stern, and M. Levin",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2021.3094552,"Wang, S., Stern, R. E., & Levin, M. (2022). Optimal control of autonomous vehicles for traffic smoothing. IEEE Transactions on Intelligent Transportation Systems. https://doi.org/10.1109/TITS.2021.3094552",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + numerical simulation,AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Optimal control,Individual/onboard or not clearly specified,Traffic smoothing / mobile-actuator control,single-lane mixed traffic; vehicle string; stop-and-go wave setting,AV; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Stop-and-go waves / flow stability; string instability; speed perturbation amplification,speed perturbation; head-to-tail string stability; fuel consumption,Wang et al. 2022 studied nonlinear optimal AV control for smoothing stop-and-go waves in a predominantly human-driven vehicle string. The study showed that controlled AVs reduced speed perturbations and achieved head-to-tail string stability while reducing fuel consumption by about 0.56% to 1.06% in numerical scenarios.,Simulation-only numerical evidence; no lane changing; no routing; reaction delay and behavioral stochasticity were not modeled; penetration-rate effects were demonstrated but not analytically investigated in depth.,No,No,Undermind #38,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Optimization/optimal control; Pontryagin minimum principle; car-following/string-stability control,single-lane mixed traffic; vehicle string; stop-and-go wave setting,Stop-and-go waves / flow stability; string instability; speed perturbation amplification,speed perturbation; head-to-tail string stability; fuel consumption
M081,85,Wu 2021,2021,Flow: A Modular Learning Framework for Mixed Autonomy Traffic,Cathy Wu; Abdul Rahman Kreidieh; Kanaad Parvate; Eugene Vinitsky; Alexandre M. Bayen,IEEE Transactions on Robotics,https://doi.org/10.1109/TRO.2021.3087314,"Wu, C., Kreidieh, A. R., Parvate, K., Vinitsky, E., & Bayen, A. M. (2021). Flow: A modular learning framework for mixed autonomy traffic. IEEE Transactions on Robotics. https://doi.org/10.1109/TRO.2021.3087314",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,RL simulation/benchmark,AV,Direct bottleneck/congestion mitigation,Tier 1,Not clearly specified,RL/MARL,Individual/onboard or not clearly specified,Traffic smoothing / mobile-actuator control; Cooperative merging / coordinated gap creation / ramp coordination,Ring road; multilane ring; figure-eight intersection; merge and imported networks,AV,Simulation,Stop-and-go waves / flow stability; Lane-changing friction / gaps; Queueing/delay,throughput/capacity; speed/stability; string stability/wave damping; delay/travel time/queue,Wu et al. 2021 presented Flow as a modular deep RL framework for mixed-autonomy traffic with ring road multilane and intersection scenarios. The study found learned AV controllers improved system velocity by up to 57 percent with 4 to 7 percent AV adoption and eliminated stop-and-go traffic in single-lane tests but remained simulation-based.,Simulation-only evidence; larger realistic networks and safe deployment remain open; global convergence stability robustness and safety guarantees not established,Yes,No,Perplexity table P15; Undermind #109; Perplexity bibliography,Perplexity selected table; Undermind catalog; Perplexity bibliography,matched to uploaded coded matrix,,Longitudinal; Lateral; Cooperative,RL/MARL,Ring road; multilane ring; figure-eight intersection; merge and imported networks,Stop-and-go waves / flow stability; Lane-changing friction / gaps; Queueing/delay,throughput/capacity; speed/stability; string stability/wave damping; delay/travel time/queue
M096,86,Daiquan Xiao 2022,2022,Reinforcement learning based mainline dynamic speed limit adjustment of expressway off-ramp upstream under connected and autonomous vehicles environment,"Daiquan Xiao, Shengyang Kang, Xuecai Xu, and Zhenwu Shen","IET Intelligent Transport Systems, 16(12), 1809-1819",https://doi.org/10.1049/itr2.12225,"Xiao, D., Kang, S., Xu, X., & Shen, Z. (2022). Reinforcement learning based mainline dynamic speed limit adjustment of expressway off-ramp upstream under connected and autonomous vehicles environment. IET Intelligent Transport Systems, 16(12), 1809-1819. https://doi.org/10.1049/itr2.12225",Included as direct evidence,Final literature update — publisher full-text review,Substantively coded from publisher full text,RL control + microscopic simulation,CAV; connected-vehicle environment,Direct bottleneck/congestion mitigation; RL speed control,Tier 1,Desired speed,RL/MARL; Rule-based/control law,Infrastructure-assisted V2I/I2V; Centralized,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Expressway off-ramp bottleneck and upstream mainline segment,CAV/connected environment; communication and speed-limit compliance assumptions,Simulation,Queue formation / discharge; Physical spillback from off-ramp queue to mainline,Total travel time; average delay; average speed; service volume; off-ramp queue length; mainline/off-ramp travel time; spillover occurrence,"Xiao et al. 2022 used Q-learning to set upstream mainline speed limits for an off-ramp bottleneck. In VISSIM, the RL strategy reduced total travel time by 32.75% versus no control, shortened and delayed off-ramp queues, and reduced mainline effects of queue spillover.",Simplified VISSIM scenario; no field validation; CAV communication/execution assumptions are idealized; Q-learning convergence is slow and results depend on the selected off-ramp configuration.,No / not a primary control variable,No,Final update #4,Author final literature update; Wiley publisher full text,verified outside coded matrix — publisher full-text review,"Added as direct infrastructure-assisted CAV speed-control evidence. Reward/objective values are not treated as congestion metrics; coding uses independently reported queue, travel-time, delay, speed, service-volume, and spillover outcomes.",Longitudinal / speed control,Q-learning VSL; rule-based VSL comparator,Expressway off-ramp bottleneck; CAV environment,Off-ramp queueing and spillback,Total travel time; delay; speed; service volume; queue length; spillover
M082,87,Lin Xiao 2018,2018,Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks,"Lin Xiao, Meng Wang, Wouter Schakel, and Bart van Arem",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2018.10.008,"Xiao, L., Wang, M., Schakel, W., & van Arem, B. (2018). Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2018.10.008",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + microscopic simulation,CACC; ACC; AV,Direct bottleneck/congestion mitigation,Tier 1,Not clearly specified,Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation,merge/merging area; freeway bottleneck; highway segment/corridor,CACC; ACC; AV; Penetration/controllable-share assumption; Communication-reliability assumption,Analytical/theoretical; Simulation,Capacity drop; bottleneck throughput loss; merging turbulence; flow heterogeneity,merging capacity; queue discharge flow; theoretical capacity; pipeline capacity; capacity drop; flow-density curves; speed-density curves; CACC operation ratio,Xiao et al. 2018 studied CACC operation with deactivation to ACC or manual driving at a freeway merging bottleneck using microscopic simulation. The study found that higher CACC market penetration increased roadway and merging capacity but merging capacity remained below pipeline capacity and capacity drop persisted at all CACC levels due to deactivation and mode-switching effects.,"Simulation-based evidence using modeled CACC behavior and assumptions about deactivation, reactivation, time gaps, string length, communication, and lane-changing behavior; field validation of bottleneck impacts was not provided.",Yes,No/unclear,Undermind #19; Perplexity table P12,Undermind catalog; Perplexity selected table,matched to uploaded coded matrix,,Longitudinal; Lateral/merging; Cooperative,ACC/CACC with authority transition logic; microscopic simulation,merge/merging area; freeway bottleneck; highway segment/corridor,Capacity drop; bottleneck throughput loss; merging turbulence; flow heterogeneity,merging capacity; queue discharge flow; theoretical capacity; pipeline capacity; capacity drop; flow-density curves; speed-density curves; CACC operation ratio
M083,88,Lin Xiao 2020,2020,Traffic Flow Impacts of Converting an HOV Lane Into a Dedicated CACC Lane on a Freeway Corridor,Lin Xiao; Meng Wang; Bart van Arem,IEEE Intelligent Transportation Systems Magazine,https://doi.org/10.1109/MITS.2019.2953477,"Xiao, L., Wang, M., & van Arem, B. (2020). Traffic flow impacts of converting an HOV lane into a dedicated CACC lane on a freeway corridor. IEEE Intelligent Transportation Systems Magazine. https://doi.org/10.1109/MITS.2019.2953477",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic simulation,CACC; ACC,Longitudinal control; lane management,Tier 1,Not clearly specified,Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway corridor with multiple bottlenecks,CACC; ACC; Penetration/controllable-share assumption,Simulation,Bottleneck activation/throughput; lane-changing friction; dedicated-lane underutilization,congestion patterns; CACC lane flow/speed; travel time; delay; reliability; CACC usage/deactivations,Xiao et al. studied conversion of an HOV lane to a dedicated CACC lane on a 20-km SR-99 freeway corridor with merging and weaving bottlenecks. The study found that low CACC MPRs below about 30% can worsen GP-lane congestion while 40 to 50% MPRs substantially reduce congestion travel time and delay by shifting flow to the CACC lane.,Simulation-only evidence; results depend on assumed CACC penetration; lane-use rules; calibrated SR-99 demand; modeled lane-changing and deactivation behavior,Yes,No,Undermind #97,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Network/lane management,ACC/CACC; microscopic simulation,freeway corridor with multiple bottlenecks,Bottleneck activation/throughput; lane-changing friction; dedicated-lane underutilization,congestion patterns; CACC lane flow/speed; travel time; delay; reliability; CACC usage/deactivations
